Date,Open,High,Low,Close,Adj Close,Volume
3/13/2017,"6,450.00","6,450.00","6,300.00","6,350.00","5,452.25",20.44
3/14/2017,"6,400.00","6,425.00","6,325.00","6,375.00","5,473.71",8.18
3/15/2017,"6,300.00","6,425.00","6,300.00","6,400.00","5,495.18",20.86
3/16/2017,"6,450.00","6,600.00","6,400.00","6,600.00","5,666.90",43.97
3/17/2017,"6,650.00","6,700.00","6,575.00","6,700.00","5,752.76",38.82
3/20/2017,"6,600.00","6,775.00","6,550.00","6,600.00","5,666.90",21.97
3/21/2017,"6,600.00","6,625.00","6,450.00","6,575.00","5,645.44",29.08
3/22/2017,"6,550.00","6,600.00","6,425.00","6,600.00","5,666.90",47.21
3/23/2017,"6,675.00","6,950.00","6,650.00","6,900.00","5,924.49",54.96
3/24/2017,"6,750.00","6,825.00","6,700.00","6,800.00","6,024.43",20.22
3/27/2017,"6,525.00","6,775.00","6,475.00","6,525.00","5,967.55",34.91
3/29/2017,"6,525.00","6,750.00","6,525.00","6,600.00","6,036.14",35.46
3/30/2017,"6,375.00","6,625.00","6,350.00","6,375.00","5,830.36",47.61
3/31/2017,"6,400.00","6,475.00","6,375.00","6,475.00","5,921.82",49.10
4/3/2017,"6,400.00","6,500.00","6,400.00","6,450.00","5,898.96",18.76
4/4/2017,"6,500.00","6,600.00","6,450.00","6,550.00","5,990.41",14.39
4/5/2017,"6,550.00","6,550.00","6,550.00","6,550.00","5,990.41",0.00
4/6/2017,"6,575.00","6,700.00","6,525.00","6,700.00","6,127.60",21.15
4/7/2017,"6,600.00","6,625.00","6,450.00","6,475.00","5,921.82",34.83
4/10/2017,"6,475.00","6,575.00","6,425.00","6,450.00","5,898.96",27.83
4/11/2017,"6,450.00","6,450.00","6,325.00","6,375.00","5,830.36",21.86
4/12/2017,"6,400.00","6,425.00","6,300.00","6,375.00","5,830.36",24.85
4/13/2017,"6,400.00","6,425.00","6,250.00","6,275.00","5,738.91",53.99
4/17/2017,"6,275.00","6,300.00","6,175.00","6,250.00","5,716.04",17.91
4/18/2017,"6,300.00","6,375.00","6,275.00","6,350.00","5,807.50",22.21
4/19/2017,"6,350.00","6,350.00","6,350.00","6,350.00","5,807.50",0.00
4/20/2017,"6,250.00","6,250.00","6,125.00","6,250.00","5,716.04",49.50
4/21/2017,"6,250.00","6,275.00","6,075.00","6,150.00","5,624.58",54.13
4/25/2017,"6,150.00","6,250.00","6,125.00","6,200.00","5,670.31",57.47
